"filename", "language", "pip requirements", "Python", "Protocol Buffers", "Markdown", "Shell Script", "comment", "blank", "total"
"/home/hendrik/Documents/GitHub/Message-Queue/README.md", "Markdown", 0, 0, 0, 28, 0, 0, 7, 35
"/home/hendrik/Documents/GitHub/Message-Queue/requirements.txt", "pip requirements", 2, 0, 0, 0, 0, 0, 1, 3
"/home/hendrik/Documents/GitHub/Message-Queue/src/compile_rpc.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 1
"/home/hendrik/Documents/GitHub/Message-Queue/src/node.py", "Python", 0, 44, 0, 0, 0, 5, 20, 69
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_child_comm.py", "Python", 0, 10, 0, 0, 0, 0, 8, 18
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_comm.py", "Python", 0, 111, 0, 0, 0, 28, 39, 178
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_info.py", "Python", 0, 49, 0, 0, 0, 0, 19, 68
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_interpool_comm.py", "Python", 0, 64, 0, 0, 0, 2, 29, 95
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_message.py", "Python", 0, 24, 0, 0, 0, 1, 8, 33
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_message_store.py", "Python", 0, 37, 0, 0, 0, 6, 19, 62
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_misc.py", "Python", 0, 10, 0, 0, 0, 0, 5, 15
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_pool_comm.py", "Python", 0, 41, 0, 0, 0, 9, 16, 66
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_servicer.py", "Python", 0, 25, 0, 0, 0, 0, 5, 30
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_stats.py", "Python", 0, 1, 0, 0, 0, 0, 0, 1
"/home/hendrik/Documents/GitHub/Message-Queue/src/node_stub.py", "Python", 0, 24, 0, 0, 0, 1, 8, 33
"/home/hendrik/Documents/GitHub/Message-Queue/src/orchestration.proto", "Protocol Buffers", 0, 0, 61, 0, 0, 0, 19, 80
"/home/hendrik/Documents/GitHub/Message-Queue/src/orchestration.py", "Python", 0, 37, 0, 0, 0, 0, 11, 48
"/home/hendrik/Documents/GitHub/Message-Queue/src/orchestration_server.py", "Python", 0, 13, 0, 0, 0, 0, 4, 17
"/home/hendrik/Documents/GitHub/Message-Queue/src/orchestration_tree.py", "Python", 0, 37, 0, 0, 0, 7, 12, 56
"/home/hendrik/Documents/GitHub/Message-Queue/src/orchestrator_connection_manager.py", "Python", 0, 21, 0, 0, 0, 0, 7, 28
"/home/hendrik/Documents/GitHub/Message-Queue/src/orchestrator_objects.py", "Python", 0, 55, 0, 0, 0, 7, 22, 84
"/home/hendrik/Documents/GitHub/Message-Queue/src/orchestrator_rpc_functions.py", "Python", 0, 29, 0, 0, 0, 0, 9, 38
"/home/hendrik/Documents/GitHub/Message-Queue/src/tests/node_interpool_comm_test.py", "Python", 0, 52, 0, 0, 0, 0, 22, 74
"/home/hendrik/Documents/GitHub/Message-Queue/src/tests/node_message_store_test.py", "Python", 0, 9, 0, 0, 0, 0, 4, 13
"/home/hendrik/Documents/GitHub/Message-Queue/src_prototype/main.py", "Python", 0, 4, 0, 0, 0, 0, 3, 7
"/home/hendrik/Documents/GitHub/Message-Queue/src_prototype/network_protocol.py", "Python", 0, 34, 0, 0, 0, 0, 21, 55
"/home/hendrik/Documents/GitHub/Message-Queue/src_prototype/proto_node.py", "Python", 0, 51, 0, 0, 0, 8, 24, 83
"/home/hendrik/Documents/GitHub/Message-Queue/src_prototype/proto_orchestrator.py", "Python", 0, 54, 0, 0, 0, 22, 28, 104
"/home/hendrik/Documents/GitHub/Message-Queue/src_prototype/proto_orchestrator_classes.py", "Python", 0, 54, 0, 0, 0, 6, 25, 85
"/home/hendrik/Documents/GitHub/Message-Queue/src_prototype/proto_orchestrator_network.py", "Python", 0, 5, 0, 0, 0, 0, 4, 9
"/home/hendrik/Documents/GitHub/Message-Queue/src_prototype/test_client.py", "Python", 0, 6, 0, 0, 0, 0, 5, 11
"/home/hendrik/Documents/GitHub/Message-Queue/src_prototype/test_server.py", "Python", 0, 8, 0, 0, 0, 0, 5, 13
"Total", "-", 2, 909, 61, 28, 1, 102, 409, 1512